Name	Data type	Initial value	AT	Retain	Constant	Network Publish	Comment
AL[1]	BOOL			False	False	Do not publish	AL001_ Emergency stop button pressed
AL[2]	BOOL			False	False	Do not publish	AL002_ Fuse disconnected
AL[3]	BOOL			False	False	Do not publish	AL003_ Air source pressure lost
AL[4]	BOOL			False	False	Do not publish	AL004_ Safety cover or light curtain open
AL[5]	BOOL			False	False	Do not publish	AL005_ Spare
AL[6]	BOOL			False	False	Do not publish	AL006_ Spare
AL[7]	BOOL			False	False	Do not publish	AL007_ Spare
AL[8]	BOOL			False	False	Do not publish	AL008_ Spare
AL[9]	BOOL			False	False	Do not publish	AL009_ Spare
AL[10]	BOOL			False	False	Do not publish	AL010_ Spare
AL[11]	BOOL			False	False	Do not publish	AL011_ ST1 STOPPER-5 ALL REED SWITCH ON
AL[12]	BOOL			False	False	Do not publish	AL012_ ST1 LEFT DIVIDER ALL REED SWITCH ON
AL[13]	BOOL			False	False	Do not publish	AL013_ ST1 RIGHT DIVIDER ALL REED SWITCH ON
AL[14]	BOOL			False	False	Do not publish	AL014_ ST1 STOPPER-2 ALL REED SWITCH ON
AL[15]	BOOL			False	False	Do not publish	AL015_ ST1 STOPPER-3 ALL REED SWITCH ON
AL[16]	BOOL			False	False	Do not publish	AL016_ ST1 STOPPER-4 ALL REED SWITCH ON
AL[17]	BOOL			False	False	Do not publish	AL017_ Spare
AL[18]	BOOL			False	False	Do not publish	AL018_ Spare
AL[19]	BOOL			False	False	Do not publish	AL019_ Spare
AL[20]	BOOL			False	False	Do not publish	AL020_ Spare
AL[21]	BOOL			False	False	Do not publish	AL021_ Spare
AL[22]	BOOL			False	False	Do not publish	AL022_ Spare
AL[23]	BOOL			False	False	Do not publish	AL023_ Spare
AL[24]	BOOL			False	False	Do not publish	AL024_ Spare
AL[25]	BOOL			False	False	Do not publish	AL025_ Spare
AL[26]	BOOL			False	False	Do not publish	AL026_ Spare
AL[27]	BOOL			False	False	Do not publish	AL027_ Spare
AL[28]	BOOL			False	False	Do not publish	AL028_ Spare
AL[29]	BOOL			False	False	Do not publish	AL029_ Spare
